population,draw,tf,score,rank
Treg,206,ATF3,-0.255164743,521
Treg,206,REL,1.49407142,304
Treg,206,HSF1,2.37772463,202
Treg,206,EPAS1,5.41777931,21
Treg,207,HIF1A,5.16341799,24
Treg,207,NFKB1,3.25792944,108
Treg,207,STAT3,5.67338068,18
Treg,207,CREB1,6.78128774,7
Treg,207,ATF3,0.983481956,354
Treg,207,REL,4.51513922,43
Treg,207,HSF1,2.42604266,182
Treg,207,EPAS1,4.27325381,49
Treg,208,HIF1A,5.00416561,27
Treg,208,NFKB1,5.45925599,22
Treg,208,STAT3,6.47557532,8
Treg,208,CREB1,6.83681259,5
Treg,208,ATF3,2.81781525,152
Treg,208,REL,2.36534968,201
Treg,208,HSF1,1.31030004,328
Treg,208,EPAS1,2.86945986,145
Treg,209,HIF1A,3.65396373,84
Treg,209,NFKB1,3.43121529,99
Treg,209,STAT3,6.59391452,7
Treg,209,CREB1,5.2268608,23
Treg,209,ATF3,4.4261649,39
Treg,209,REL,3.45185773,95
Treg,209,HSF1,2.70912725,158
Treg,209,EPAS1,2.51989844,182
Treg,210,HIF1A,5.06216075,22
Treg,210,NFKB1,3.57154361,74
Treg,210,STAT3,6.24735429,9
Treg,210,CREB1,6.36906225,8
Treg,210,ATF3,1.78938931,278
Treg,210,REL,5.08036729,19
Treg,210,HSF1,2.18943561,226
Treg,210,EPAS1,4.15882595,50
Treg,211,HIF1A,5.55464974,17
Treg,211,NFKB1,3.88946093,58
Treg,211,STAT3,5.00094358,26
Treg,211,CREB1,6.65599964,7
Treg,211,ATF3,3.26342888,107
Treg,211,REL,4.72663103,32
Treg,211,HSF1,2.65932457,177
Treg,211,EPAS1,2.07098934,252
Treg,212,HIF1A,6.043351,14
Treg,212,NFKB1,4.66367845,32
Treg,212,STAT3,4.56845733,36
Treg,212,CREB1,6.43423061,7
Treg,212,ATF3,1.90578652,260
Treg,212,REL,4.93944073,26
Treg,212,HSF1,3.40650133,103
Treg,212,EPAS1,1.64519311,291
Treg,213,HIF1A,5.47518596,15
Treg,213,NFKB1,4.89677902,26
Treg,213,STAT3,5.04036972,23
Treg,213,CREB1,6.46918612,6
Treg,213,ATF3,0.630034391,426
Treg,213,REL,6.06977062,11
Treg,213,HSF1,1.95487047,242
Treg,213,EPAS1,1.89636527,252
Treg,214,HIF1A,4.93858546,25
Treg,214,NFKB1,4.71905117,32
Treg,214,STAT3,7.32323915,4
Treg,214,CREB1,6.34888403,10
Treg,214,ATF3,0.449828123,441
Treg,214,REL,4.40532808,40
Treg,214,HSF1,3.26128154,106
Treg,214,EPAS1,1.02272649,360
Treg,215,HIF1A,5.9124807,13
Treg,215,NFKB1,4.99262309,23
Treg,215,STAT3,6.31421276,10
Treg,215,CREB1,4.75744943,28
Treg,215,ATF3,3.14094872,126
Treg,215,REL,4.52286896,36
Treg,215,HSF1,1.49960328,287
Treg,215,EPAS1,4.57008886,35
Treg,216,HIF1A,6.71724332,6
Treg,216,NFKB1,4.75199887,29
Treg,216,STAT3,6.36266846,8
Treg,216,CREB1,4.60620159,36
Treg,216,ATF3,2.86318139,144
Treg,216,REL,5.40711464,19
Treg,216,HSF1,3.1506041,114
Treg,216,EPAS1,3.95565287,65
Treg,217,HIF1A,6.53019364,9
Treg,217,NFKB1,3.5836252,85
Treg,217,STAT3,6.69115025,7
Treg,217,CREB1,5.83608156,14
Treg,217,ATF3,1.37343171,322
Treg,217,REL,3.47312306,87
Treg,217,HSF1,3.64511033,83
Treg,217,EPAS1,3.95672986,68
Treg,218,HIF1A,7.25289735,4
Treg,218,NFKB1,5.59335558,13
Treg,218,STAT3,6.47306271,7
Treg,218,CREB1,5.99432378,8
Treg,218,ATF3,2.2572864,217
Treg,218,REL,3.52546036,98
Treg,218,HSF1,2.3347328,206
Treg,218,EPAS1,3.0584256,129
Treg,219,HIF1A,7.09654489,4
Treg,219,NFKB1,4.56853413,42
Treg,219,STAT3,8.04238642,1
Treg,219,CREB1,5.80236578,12
Treg,219,ATF3,-2.4707154,591
Treg,219,REL,4.21770025,54
Treg,219,HSF1,1.77727182,272
Treg,219,EPAS1,1.27919208,329
Treg,220,HIF1A,5.79203924,12
Treg,220,NFKB1,5.37587043,27
Treg,220,STAT3,7.55293761,3
Treg,220,CREB1,6.37108289,5
Treg,220,ATF3,2.05227829,240
Treg,220,REL,5.57887102,20
Treg,220,HSF1,2.28245048,211
Treg,220,EPAS1,2.59446447,173
Treg,221,HIF1A,4.48093792,48
Treg,221,NFKB1,3.40044086,105
Treg,221,STAT3,7.95587342,2
Treg,221,CREB1,6.28214247,11
Treg,221,ATF3,2.88486354,147
Treg,221,REL,3.88290973,73
Treg,221,HSF1,2.00518212,248
Treg,221,EPAS1,2.84617972,150
Treg,222,HIF1A,6.32347856,14
Treg,222,NFKB1,3.18110757,121
Treg,222,STAT3,4.88965005,35
Treg,222,CREB1,6.67889881,10
Treg,222,ATF3,1.20677262,349
Treg,222,REL,4.32397814,50
Treg,222,HSF1,1.49919181,305
Treg,222,EPAS1,2.7372664,166
Treg,223,HIF1A,5.00090392,30
Treg,223,NFKB1,4.26223063,48
Treg,223,STAT3,5.22985114,27
Treg,223,CREB1,7.82433775,3
Treg,223,ATF3,0.246302926,453
Treg,223,REL,4.10006444,54
Treg,223,HSF1,2.81178558,148
Treg,223,EPAS1,1.50499745,314
Treg,224,HIF1A,4.20745294,51
Treg,224,NFKB1,3.72403495,86
Treg,224,STAT3,3.51833849,105
Treg,224,CREB1,7.82829753,2
Treg,224,ATF3,0.674242494,420
Treg,224,REL,2.18088305,228
Treg,224,HSF1,1.80394584,274
Treg,224,EPAS1,2.88600491,149
Treg,225,HIF1A,4.05844299,61
Treg,225,NFKB1,6.00380843,13
Treg,225,STAT3,6.15943327,11
Treg,225,CREB1,7.57242182,2
Treg,225,ATF3,1.39172939,338
Treg,225,REL,1.60783453,305
Treg,225,HSF1,3.23729585,110
Treg,225,EPAS1,2.29392287,211
Treg,226,HIF1A,5.6286772,16
Treg,226,NFKB1,6.0160709,11
Treg,226,STAT3,4.55755795,44
Treg,226,CREB1,7.73733985,2
Treg,226,ATF3,3.22935269,117
Treg,226,REL,1.73059388,286
Treg,226,HSF1,3.50607614,93
Treg,226,EPAS1,1.89284067,259
Treg,227,HIF1A,4.46093259,36
Treg,227,NFKB1,5.10567374,20
Treg,227,STAT3,3.31310811,104
Treg,227,CREB1,4.44405287,38
Treg,227,ATF3,1.54992882,303
Treg,227,REL,0.560589632,434
Treg,227,HSF1,4.80700497,30
Treg,227,EPAS1,3.02021726,134
Treg,228,HIF1A,4.03348625,54
Treg,228,NFKB1,5.1052435,22
Treg,228,STAT3,3.65221002,77
Treg,228,CREB1,5.16727867,21
Treg,228,ATF3,-0.590682616,535
Treg,228,REL,2.20982048,224
Treg,228,HSF1,3.97673201,57
Treg,228,EPAS1,2.54343939,185
Treg,229,HIF1A,3.99875051,61
Treg,229,NFKB1,4.67007094,30
Treg,229,STAT3,3.74354998,72
Treg,229,CREB1,6.22499234,9
Treg,229,ATF3,1.9613233,259
Treg,229,REL,1.21692996,352
Treg,229,HSF1,1.75232941,287
Treg,229,EPAS1,1.97013812,258
Treg,230,HIF1A,3.2159161,117
Treg,230,NFKB1,5.01429928,26
Treg,230,STAT3,5.74930046,14
Treg,230,CREB1,5.08784989,24
Treg,230,ATF3,3.74271268,75
Treg,230,REL,3.12891656,124
Treg,230,HSF1,1.93994771,236
Treg,230,EPAS1,3.94318092,63
Treg,231,HIF1A,7.44328476,2
Treg,231,NFKB1,5.72716152,11
Treg,231,STAT3,5.34548268,20
Treg,231,CREB1,5.25456851,27
Treg,231,ATF3,0.921482516,386
Treg,231,REL,3.94894162,71
Treg,231,HSF1,4.48049067,51
Treg,231,EPAS1,1.25895555,348
Treg,232,HIF1A,6.03935493,9
Treg,232,NFKB1,4.20299806,51
Treg,232,STAT3,5.1874448,26
Treg,232,CREB1,6.13484586,8
Treg,232,ATF3,2.41523275,181
Treg,232,REL,4.93662123,35
Treg,232,HSF1,3.11753026,118
Treg,232,EPAS1,1.21181289,350
Treg,233,HIF1A,7.1394753,5
Treg,233,NFKB1,4.0057455300000004,70
Treg,233,STAT3,6.51137048,9
Treg,233,CREB1,6.62629297,7
Treg,233,ATF3,1.57525176,292
Treg,233,REL,3.97067507,73
Treg,233,HSF1,1.49589404,308
Treg,233,EPAS1,0.0379982762,474
Treg,234,HIF1A,5.38841799,19
Treg,234,NFKB1,6.19284041,10
Treg,234,STAT3,4.18936415,50
Treg,234,CREB1,5.92491459,12
Treg,234,ATF3,1.09636936,363
Treg,234,REL,2.97571467,130
Treg,234,HSF1,1.86637877,260
Treg,234,EPAS1,2.18816935,219
Treg,235,HIF1A,6.07822973,9
Treg,235,NFKB1,4.6609271,31
Treg,235,STAT3,4.56033654,33
Treg,235,CREB1,6.31183172,8
Treg,235,ATF3,3.48406775,84
Treg,235,REL,1.71355648,279
Treg,235,HSF1,1.33004128,328
Treg,235,EPAS1,4.26510546,42
Treg,236,HIF1A,6.21758068,8
Treg,236,NFKB1,4.1800063,58
Treg,236,STAT3,4.76993262,36
Treg,236,CREB1,5.87922144,12
Treg,236,ATF3,2.70180415,172
Treg,236,REL,2.35544882,209
Treg,236,HSF1,2.86252181,152
Treg,236,EPAS1,2.42093869,204
Treg,237,HIF1A,7.27668932,4
Treg,237,NFKB1,6.00024761,11
Treg,237,STAT3,4.2245738,52
Treg,237,CREB1,5.81583801,12
Treg,237,ATF3,3.16525332,121
Treg,237,REL,3.05822093,133
Treg,237,HSF1,2.09164377,234
Treg,237,EPAS1,3.07243879,131
Treg,238,HIF1A,3.39139549,95
Treg,238,NFKB1,5.55459988,17
Treg,238,STAT3,3.11876281,125
Treg,238,CREB1,4.66788818,27
Treg,238,ATF3,1.52479162,300
Treg,238,REL,0.813252371,403
Treg,238,HSF1,3.30577077,104
Treg,238,EPAS1,1.8653898,256
Treg,239,HIF1A,5.81184908,13
Treg,239,NFKB1,5.01402824,19
Treg,239,STAT3,3.47612681,90
Treg,239,CREB1,6.09805669,11
Treg,239,ATF3,2.58687013,167
Treg,239,REL,0.558050478,433
Treg,239,HSF1,3.34282962,101
Treg,239,EPAS1,1.7349692,295
Treg,240,HIF1A,5.25224332,23
Treg,240,NFKB1,6.14661753,12
Treg,240,STAT3,3.20089696,118
Treg,240,CREB1,7.91155467,2
Treg,240,ATF3,1.8978073,249
Treg,240,REL,0.619240234,433
Treg,240,HSF1,1.53130718,314
Treg,240,EPAS1,1.79228929,275
Treg,241,HIF1A,6.74720865,9
Treg,241,NFKB1,6.05105057,12
Treg,241,STAT3,4.84824797,29
Treg,241,CREB1,6.99089281,6
Treg,241,ATF3,2.10805824,233
Treg,241,REL,0.88942392,400
Treg,241,HSF1,3.71784979,78
Treg,241,EPAS1,0.892671857,397
Treg,242,HIF1A,8.08503446,2
Treg,242,NFKB1,6.87775332,7
Treg,242,STAT3,3.22334106,114
Treg,242,CREB1,4.91905401,25
Treg,242,ATF3,2.03804996,253
Treg,242,REL,2.33213211,208
Treg,242,HSF1,1.94884218,267
Treg,242,EPAS1,6.52886495,8
Treg,243,HIF1A,5.99901426,13
Treg,243,NFKB1,6.08535206,11
Treg,243,STAT3,3.30376109,99
Treg,243,CREB1,5.62114742,20
Treg,243,ATF3,1.14515057,346
Treg,243,REL,3.28392751,101
Treg,243,HSF1,1.06054521,365
Treg,243,EPAS1,2.71580272,148
Treg,244,HIF1A,5.93108344,15
Treg,244,NFKB1,5.59826014,17
Treg,244,STAT3,4.8838814,33
Treg,244,CREB1,5.253029,24
Treg,244,ATF3,0.497354124,448
Treg,244,REL,3.55780669,99
Treg,244,HSF1,4.25198109,60
Treg,244,EPAS1,6.45924131,8
Treg,245,HIF1A,6.53327475,6
Treg,245,NFKB1,5.08935914,24
Treg,245,STAT3,6.83054651,5
Treg,245,CREB1,5.17887373,22
Treg,245,ATF3,0.54214421,429
Treg,245,REL,2.94281906,143
Treg,245,HSF1,2.68848805,167
Treg,245,EPAS1,5.42507245,16
Treg,246,HIF1A,5.95791134,11
Treg,246,NFKB1,4.81555152,26
Treg,246,STAT3,6.19339344,9
Treg,246,CREB1,4.55860096,34
Treg,246,ATF3,0.204689412,473
Treg,246,REL,3.4903201,93
Treg,246,HSF1,5.35815072,19
Treg,246,EPAS1,4.27061151,46
Treg,247,HIF1A,8.34765807,1
Treg,247,NFKB1,5.0760473,23
Treg,247,STAT3,4.99946045,24
Treg,247,CREB1,6.93300192,7
Treg,247,ATF3,0.154756177,475
Treg,247,REL,3.97694513,55
Treg,247,HSF1,2.40892705,199
Treg,247,EPAS1,1.54127248,301
Treg,248,HIF1A,7.14386519,5
Treg,248,NFKB1,4.56415347,36
Treg,248,STAT3,6.03481254,12
Treg,248,CREB1,6.5236847,8
Treg,248,ATF3,1.25468903,341
Treg,248,REL,3.39124965,107
Treg,248,HSF1,2.78633675,172
Treg,248,EPAS1,2.83302349,168
Treg,249,HIF1A,3.93458403,62
Treg,249,NFKB1,6.87810955,9
Treg,249,STAT3,5.13884907,28
Treg,249,CREB1,6.332428,12
Treg,249,ATF3,-1.2016014800000001,559
Treg,249,REL,2.8866707,140
Treg,249,HSF1,0.815419682,386
Treg,249,EPAS1,4.95597998,31
Treg,250,HIF1A,5.31379953,17
Treg,250,NFKB1,4.99975237,23
Treg,250,STAT3,4.45443346,37
Treg,250,CREB1,3.33305793,104
Treg,250,ATF3,2.26239618,202
Treg,250,REL,2.78226542,150
Treg,250,HSF1,3.11675412,121
Treg,250,EPAS1,3.7789152,75
Treg,251,HIF1A,6.10290685,12
Treg,251,NFKB1,5.92904421,15
Treg,251,STAT3,4.98281577,30
Treg,251,CREB1,3.44109492,102
Treg,251,ATF3,2.31465316,213
Treg,251,REL,1.93294086,254
Treg,251,HSF1,4.3376258,49
Treg,251,EPAS1,2.55446406,177
Treg,252,HIF1A,5.23688102,22
Treg,252,NFKB1,6.88524074,6
Treg,252,STAT3,2.97128838,138
Treg,252,CREB1,5.75943134,13
Treg,252,ATF3,0.794090511,414
Treg,252,REL,2.55443368,188
Treg,252,HSF1,0.44538695,456
Treg,252,EPAS1,2.93084309,148
Treg,253,HIF1A,5.86466117,13
Treg,253,NFKB1,6.21986563,8
Treg,253,STAT3,6.08140309,11
Treg,253,CREB1,4.48640418,37
Treg,253,ATF3,-1.38344126,564
Treg,253,REL,2.93906847,152
Treg,253,HSF1,4.83750581,29
Treg,253,EPAS1,3.37791686,110
Treg,254,HIF1A,5.39658344,23
Treg,254,NFKB1,6.45215063,8
Treg,254,STAT3,5.18028985,25
Treg,254,CREB1,5.43442039,20
Treg,254,ATF3,-0.669756141,539
Treg,254,REL,2.39045489,208
Treg,254,HSF1,3.33390965,102
Treg,254,EPAS1,4.77937519,33
Treg,255,HIF1A,6.39814128,8
Treg,255,NFKB1,5.58626431,15
Treg,255,STAT3,4.58817971,37
Treg,255,CREB1,5.45142185,18
Treg,255,ATF3,1.85448975,267
Treg,255,REL,3.1338397,119
Treg,255,HSF1,5.8552137,12
Treg,255,EPAS1,3.36080805,104
Treg,256,HIF1A,4.72564274,27
Treg,256,NFKB1,6.21698518,8
Treg,256,STAT3,4.64351816,32
Treg,256,CREB1,6.45504613,6
Treg,256,ATF3,1.29511999,330
Treg,256,REL,2.27748909,215
Treg,256,HSF1,3.73187211,76
Treg,256,EPAS1,2.59628647,184
Treg,257,HIF1A,3.5541742,81
Treg,257,NFKB1,5.77455163,12
Treg,257,STAT3,3.2974953,107
Treg,257,CREB1,7.53323373,3
Treg,257,ATF3,3.98685311,55
Treg,257,REL,1.17211696,353
Treg,257,HSF1,3.2789922,109
Treg,257,EPAS1,1.43807733,322
Treg,258,HIF1A,5.16918317,21
Treg,258,NFKB1,5.53552375,11
Treg,258,STAT3,4.31174856,52
Treg,258,CREB1,5.18294913,20
Treg,258,ATF3,1.11516167,365
Treg,258,REL,1.75736496,290
Treg,258,HSF1,2.43030302,206
Treg,258,EPAS1,2.66633992,176
Treg,259,HIF1A,4.45589678,40
Treg,259,NFKB1,4.75540522,26
Treg,259,STAT3,4.23744644,47
Treg,259,CREB1,5.84802837,10
Treg,259,ATF3,4.95210298,23
Treg,259,REL,2.49976139,198
Treg,259,HSF1,4.94712393,24
Treg,259,EPAS1,4.21746458,49
Treg,260,HIF1A,4.89677356,27
Treg,260,NFKB1,6.80243272,5
Treg,260,STAT3,5.76205921,15
Treg,260,CREB1,4.68423366,33
Treg,260,ATF3,2.60750035,166
Treg,260,REL,3.35352833,109
Treg,260,HSF1,2.88387986,137
Treg,260,EPAS1,1.82628172,257
Treg,261,HIF1A,5.73797927,12
Treg,261,NFKB1,6.43000696,7
Treg,261,STAT3,4.1148053000000004,61
Treg,261,CREB1,3.47276843,97
Treg,261,ATF3,3.37356353,107
Treg,261,REL,3.27285928,114
Treg,261,HSF1,3.61259984,84
Treg,261,EPAS1,2.8183775,147
Treg,262,HIF1A,5.89809329,11
Treg,262,NFKB1,6.20245859,10
Treg,262,STAT3,6.42422879,7
Treg,262,CREB1,5.19925624,23
Treg,262,ATF3,1.19784746,360
Treg,262,REL,3.56631622,87
Treg,262,HSF1,1.71493845,271
Treg,262,EPAS1,2.04928756,237
Treg,263,HIF1A,4.84397716,31
Treg,263,NFKB1,7.03509586,7
Treg,263,STAT3,5.84275067,17
Treg,263,CREB1,4.21264786,42
Treg,263,ATF3,1.6543422,272
Treg,263,REL,2.42778728,174
Treg,263,HSF1,1.11325227,363
Treg,263,EPAS1,3.44457838,79
Treg,264,HIF1A,5.68899237,13
Treg,264,NFKB1,5.02809038,25
Treg,264,STAT3,3.41889834,102
Treg,264,CREB1,4.48790195,39
Treg,264,ATF3,0.626556846,428
Treg,264,REL,1.46113259,310
Treg,264,HSF1,2.45874953,188
Treg,264,EPAS1,1.59376676,284
Treg,265,HIF1A,4.73682588,34
Treg,265,NFKB1,4.02669765,67
Treg,265,STAT3,4.30635665,55
Treg,265,CREB1,4.48301515,46
Treg,265,ATF3,1.96168922,245
Treg,265,REL,1.57206844,303
Treg,265,HSF1,2.20913733,216
Treg,265,EPAS1,1.28773517,335
Treg,266,HIF1A,5.8813845,13
Treg,266,NFKB1,7.25847969,2
Treg,266,STAT3,4.406311,44
Treg,266,CREB1,5.31663034,21
Treg,266,ATF3,3.93475775,70
Treg,266,REL,5.88886247,12
Treg,266,HSF1,3.22823514,112
Treg,266,EPAS1,1.80790643,252
Treg,267,HIF1A,6.61508549,5
Treg,267,NFKB1,6.39651364,7
Treg,267,STAT3,4.40836147,38
Treg,267,CREB1,2.62382446,167
Treg,267,ATF3,0.114754543,474
Treg,267,REL,5.56528625,14
Treg,267,HSF1,3.3437577,100
Treg,267,EPAS1,1.98585529,242
Treg,268,HIF1A,6.96056322,4
Treg,268,NFKB1,6.95105536,5
Treg,268,STAT3,4.4892692,39
Treg,268,CREB1,3.10492064,119
Treg,268,ATF3,-0.744846428,557
Treg,268,REL,2.15356619,241
Treg,268,HSF1,1.67663927,290
Treg,268,EPAS1,3.1875224,112
Treg,269,HIF1A,7.25013234,6
Treg,269,NFKB1,8.04228406,3
Treg,269,STAT3,4.96157303,28
Treg,269,CREB1,3.59638163,82
Treg,269,ATF3,0.756179013,400
Treg,269,REL,3.1297673,118
Treg,269,HSF1,1.7547329,270
Treg,269,EPAS1,2.55233245,184
Treg,270,HIF1A,7.59616947,4
Treg,270,NFKB1,6.53386663,8
Treg,270,STAT3,4.67949189,28
Treg,270,CREB1,4.52678283,33
Treg,270,ATF3,3.16819174,124
Treg,270,REL,4.33469433,38
Treg,270,HSF1,5.72880651,13
Treg,270,EPAS1,4.0443914,53
Treg,271,HIF1A,5.91112899,11
Treg,271,NFKB1,4.30470166,50
Treg,271,STAT3,4.92637901,30
Treg,271,CREB1,4.2664062,52
Treg,271,ATF3,1.24080409,352
Treg,271,REL,3.49581642,104
Treg,271,HSF1,3.76690348,83
Treg,271,EPAS1,1.54345198,307
Treg,272,HIF1A,6.29653494,8
Treg,272,NFKB1,5.33269551,15
Treg,272,STAT3,5.93399343,9
Treg,272,CREB1,4.17596916,56
Treg,272,ATF3,2.30988297,212
Treg,272,REL,1.5311325,307
Treg,272,HSF1,3.77551902,79
Treg,272,EPAS1,3.06444623,134
Treg,273,HIF1A,4.29956146,57
Treg,273,NFKB1,6.03662086,8
Treg,273,STAT3,4.35347203,55
Treg,273,CREB1,4.98764125,23
Treg,273,ATF3,2.26421688,212
Treg,273,REL,3.20476878,126
Treg,273,HSF1,3.6130339,92
Treg,273,EPAS1,2.27942965,209
Treg,274,HIF1A,5.81401281,17
Treg,274,NFKB1,7.46469341,3
Treg,274,STAT3,6.26284275,9
Treg,274,CREB1,3.59498443,84
Treg,274,ATF3,0.40433258,453
Treg,274,REL,4.70952207,36
Treg,274,HSF1,2.3256378,213
Treg,274,EPAS1,2.3634737,206
Treg,275,HIF1A,5.57893791,15
Treg,275,NFKB1,3.85354825,73
Treg,275,STAT3,5.99649436,12
Treg,275,CREB1,4.70377526,36
Treg,275,ATF3,1.68363103,284
Treg,275,REL,3.792993,82
Treg,275,HSF1,3.5835336,110
Treg,275,EPAS1,3.7017784,98
Treg,276,HIF1A,5.51393627,20
Treg,276,NFKB1,4.00506378,61
Treg,276,STAT3,6.35485047,9
Treg,276,CREB1,5.36983423,23
Treg,276,ATF3,0.0496450172,488
Treg,276,REL,4.18725822,52
Treg,276,HSF1,4.18758468,51
Treg,276,EPAS1,1.28714363,341
Treg,277,HIF1A,4.70797359,28
Treg,277,NFKB1,5.42728512,12
Treg,277,STAT3,4.94477107,24
Treg,277,CREB1,4.18404621,49
Treg,277,ATF3,2.50888594,171
Treg,277,REL,5.40075993,15
Treg,277,HSF1,3.75070104,71
Treg,277,EPAS1,2.12708356,220
Treg,278,HIF1A,4.7033246,34
Treg,278,NFKB1,5.04742623,25
Treg,278,STAT3,4.23649598,58
Treg,278,CREB1,6.08729319,10
Treg,278,ATF3,2.24258036,216
Treg,278,REL,4.18221126,62
Treg,278,HSF1,3.50672795,90
Treg,278,EPAS1,2.365081,203
Treg,279,HIF1A,5.67879743,15
Treg,279,NFKB1,5.96618984,11
Treg,279,STAT3,5.53890838,19
Treg,279,CREB1,6.76093827,3
Treg,279,ATF3,3.14054106,130
Treg,279,REL,3.5662992,94
Treg,279,HSF1,3.59552372,90
Treg,279,EPAS1,2.19232877,228
Treg,280,HIF1A,5.21930663,18
Treg,280,NFKB1,5.99515764,7
Treg,280,STAT3,4.39853826,49
Treg,280,CREB1,6.43523048,4
Treg,280,ATF3,3.62714801,90
Treg,280,REL,2.76992298,175
Treg,280,HSF1,2.22033282,237
Treg,280,EPAS1,2.7653402,176
Treg,281,HIF1A,4.49353074,45
Treg,281,NFKB1,5.63548818,17
Treg,281,STAT3,6.99902814,3
Treg,281,CREB1,5.69302479,15
Treg,281,ATF3,0.7397116,405
Treg,281,REL,2.96816097,148
Treg,281,HSF1,4.49434204,44
Treg,281,EPAS1,3.55840795,99
Treg,282,HIF1A,4.39502001,50
Treg,282,NFKB1,5.39519955,12
Treg,282,STAT3,5.11379791,23
Treg,282,CREB1,5.19924655,17
Treg,282,ATF3,3.45238017,100
Treg,282,REL,2.86810987,157
Treg,282,HSF1,0.322825208,452
Treg,282,EPAS1,3.97383219,71
Treg,283,HIF1A,5.89633087,9
Treg,283,NFKB1,5.53529944,15
Treg,283,STAT3,4.82693071,33
Treg,283,CREB1,5.90483137,8
Treg,283,ATF3,1.77673368,296
Treg,283,REL,5.09414326,23
Treg,283,HSF1,2.07669775,241
Treg,283,EPAS1,1.81159648,286
Treg,284,HIF1A,5.95117014,9
Treg,284,NFKB1,6.85458406,5
Treg,284,STAT3,-0.215777518,503
Treg,284,CREB1,6.03527672,8
Treg,284,ATF3,3.11329584,121
Treg,284,REL,4.1325329,57
Treg,284,HSF1,1.91832788,264
Treg,284,EPAS1,4.74190472,35
Treg,285,HIF1A,6.53752467,7
Treg,285,NFKB1,5.83132533,11
Treg,285,STAT3,2.43213753,194
Treg,285,CREB1,5.45103972,17
Treg,285,ATF3,0.493564343,444
Treg,285,REL,4.42142885,40
Treg,285,HSF1,3.66962114,80
Treg,285,EPAS1,3.44311207,90
Treg,286,HIF1A,6.25109218,6
Treg,286,NFKB1,5.11283382,17
Treg,286,STAT3,2.44728443,205
Treg,286,CREB1,6.09708423,7
Treg,286,ATF3,-0.072853333,509
Treg,286,REL,4.26283059,50
Treg,286,HSF1,1.97525769,259
Treg,286,EPAS1,4.48176009,39
Treg,287,HIF1A,7.07964893,8
Treg,287,NFKB1,4.05082183,63
Treg,287,STAT3,3.49730031,97
Treg,287,CREB1,4.60956287,41
Treg,287,ATF3,1.74887399,274
Treg,287,REL,3.5810754,94
Treg,287,HSF1,3.85015246,76
Treg,287,EPAS1,2.07899788,225
Treg,288,HIF1A,8.27759311,3
Treg,288,NFKB1,7.14762384,6
Treg,288,STAT3,4.09022636,64
Treg,288,CREB1,8.35609409,2
Treg,288,ATF3,2.19410451,220
Treg,288,REL,3.42502555,109
Treg,288,HSF1,1.95309587,250
Treg,288,EPAS1,2.60214881,176
Treg,289,HIF1A,6.72205915,5
Treg,289,NFKB1,6.44660345,8
Treg,289,STAT3,3.00110825,141
Treg,289,CREB1,7.86619791,2
Treg,289,ATF3,0.808552443,403
Treg,289,REL,3.04812863,134
Treg,289,HSF1,3.00329937,140
Treg,289,EPAS1,4.53102316,29
Treg,290,HIF1A,7.15843374,5
Treg,290,NFKB1,4.42666976,44
Treg,290,STAT3,3.57356882,94
Treg,290,CREB1,8.33007727,2
Treg,290,ATF3,2.71740734,153
Treg,290,REL,2.56259176,175
Treg,290,HSF1,3.18972309,119
Treg,290,EPAS1,3.78316467,76
Treg,291,HIF1A,6.69297897,5
Treg,291,NFKB1,4.8634318,29
Treg,291,STAT3,6.8210901,3
Treg,291,CREB1,6.79626796,4
Treg,291,ATF3,0.890882929,400
Treg,291,REL,5.40361778,17
Treg,291,HSF1,4.11130179,57
Treg,291,EPAS1,1.40275566,343
Treg,292,HIF1A,5.61884433,13
Treg,292,NFKB1,5.37204506,16
Treg,292,STAT3,5.22377714,17
Treg,292,CREB1,4.30078083,41
Treg,292,ATF3,0.38416261,443
Treg,292,REL,1.17601839,367
Treg,292,HSF1,3.66362845,74
Treg,292,EPAS1,1.37631592,336
Treg,293,HIF1A,4.84101981,30
Treg,293,NFKB1,5.0109219,26
Treg,293,STAT3,6.24967057,7
Treg,293,CREB1,5.1498292,22
Treg,293,ATF3,-0.307809664,498
Treg,293,REL,2.05629722,254
Treg,293,HSF1,2.61029988,190
Treg,293,EPAS1,2.4349281,212
Treg,294,HIF1A,6.31352139,8
Treg,294,NFKB1,5.21201966,17
Treg,294,STAT3,4.77661298,26
Treg,294,CREB1,5.0397165,23
Treg,294,ATF3,2.21102139,216
Treg,294,REL,3.96546274,62
Treg,294,HSF1,3.14861107,116
Treg,294,EPAS1,2.84586383,154
Treg,295,HIF1A,5.12072835,21
Treg,295,NFKB1,5.29377962,14
Treg,295,STAT3,5.18083746,20
Treg,295,CREB1,5.84415166,9
Treg,295,ATF3,1.75538807,273
Treg,295,REL,3.78927756,72
Treg,295,HSF1,0.249575632,451
Treg,295,EPAS1,3.77172206,73
Treg,296,HIF1A,5.62991513,15
Treg,296,NFKB1,5.17250997,26
Treg,296,STAT3,5.13960065,27
Treg,296,CREB1,5.9718741,11
Treg,296,ATF3,1.99606357,236
Treg,296,REL,2.82883388,139
Treg,296,HSF1,1.83809862,252
Treg,296,EPAS1,3.00068595,122
Treg,297,HIF1A,5.75264857,12
Treg,297,NFKB1,5.86336263,11
Treg,297,STAT3,6.29137207,7
Treg,297,CREB1,4.18446082,59
Treg,297,ATF3,3.18478176,119
Treg,297,REL,2.14819012,231
